id,title,genres,release_date,budget,avg_rating,runtime,profit,production_countries,production_companies,cast,director
16340,Rugrats in Paris: The Movie,Family,2000-09-14,30,3.127130699979394,78.0,73.0,Germany,ParamountPictures,others,others
16619,Ordinary People,Drama,1980-09-19,6000000,3.127130699979394,124.0,6.24202807490212E7,UnitedStatesofAmerica,others,others,others
172520,Coldwater,Drama,2013-03-10,2.1604277457480315E7,3.127130699979394,104.0,4.681600329154089E7,UnitedStatesofAmerica,others,others,others
17741,Stoned,Drama,2005-11-18,2.1604277457480315E7,3.127130699979394,102.0,4.681600329154089E7,UnitedKingdom,others,others,others
18276,Hoot,Family,2006-05-05,2.1604277457480315E7,3.127130699979394,91.0,4.681600329154089E7,UnitedStatesofAmerica,others,others,others
18570,"Food, Inc.",Documentary,2008-09-07,2.1604277457480315E7,3.127130699979394,94.0,4.681600329154089E7,UnitedStatesofAmerica,others,others,others
19051,The New Adventures of Pippi Longstocking,Family,1988-07-06,5000000,3.127130699979394,100.0,-1430061.0,Sweden,ColumbiaPictures,others,others
20626,Special Correspondents,Comedy,2009-01-21,2.1604277457480315E7,3.127130699979394,93.0,4.681600329154089E7,France,others,others,others
211088,Beyond The Edge,Drama,2013-10-24,2.1604277457480315E7,3.127130699979394,93.0,4.681600329154089E7,others,others,others,others
212503,King Ordinary,Comedy,2013-09-04,2.1604277457480315E7,3.127130699979394,97.0,4.681600329154089E7,Germany,others,others,others
215656,All About the Feathers,Comedy,2013-09-20,2.1604277457480315E7,3.127130699979394,85.0,4.681600329154089E7,others,others,others,others
222935,The Fault in Our Stars,Drama,2014-05-16,12000000,3.127130699979394,125.0,2.95166834E8,UnitedStatesofAmerica,others,others,others
227877,Torment,Horror,2013-10-11,2.1604277457480315E7,3.127130699979394,81.0,4.681600329154089E7,Canada,others,others,others
229113,The Kiyosu Conference,Drama,2013-11-09,2.1604277457480315E7,3.127130699979394,135.0,4.681600329154089E7,Japan,others,others,others
23382,Dark Country,Thriller,2009-10-05,2.1604277457480315E7,3.127130699979394,88.0,4.681600329154089E7,UnitedStatesofAmerica,others,others,others
248376,Once Upon a Time in Shanghai,Crime,2014-01-06,2.1604277457480315E7,3.127130699979394,95.0,4.681600329154089E7,China,others,others,others
268508,The Mummy Resurrected,Horror,2014-03-01,2.1604277457480315E7,3.127130699979394,80.0,4.681600329154089E7,UnitedStatesofAmerica,others,others,others
270851,Blood Lake,Comedy,2014-05-25,2.1604277457480315E7,3.127130699979394,90.0,4.681600329154089E7,UnitedStatesofAmerica,others,others,others
282762,Committed,Romance,2014-04-06,2.1604277457480315E7,3.127130699979394,86.0,4.681600329154089E7,others,others,others,others
287935,Midnight Sun,Adventure,2014-09-01,18000000,3.127130699979394,120.0,5.04202807490212E7,Canada,others,others,others
288778,Runoff,Thriller,2015-06-26,2.1604277457480315E7,3.127130699979394,90.0,4.681600329154089E7,UnitedStatesofAmerica,others,others,others
30155,Naked Fear,Thriller,2007-04-01,2.1604277457480315E7,3.127130699979394,104.0,4.681600329154089E7,UnitedStatesofAmerica,others,others,others
302349,Iron Sky: The Coming Race,Comedy,2018-03-01,18000000,3.127130699979394,0.0,5.04202807490212E7,Germany,others,others,others
302429,Strange Magic,Family,2015-01-23,2.1604277457480315E7,3.127130699979394,99.0,-8000824.457480315,UnitedStatesofAmerica,others,others,others
30982,The Tramp,Comedy,1915-04-12,2.1604277457480315E7,3.127130699979394,27.0,4.681600329154089E7,UnitedStatesofAmerica,others,others,others
315011,Shin Godzilla,Horror,2016-07-29,15000000,3.127130699979394,120.0,6.2E7,Japan,others,others,others
318917,Look Who's Back,Comedy,2015-10-08,3196621,3.127130699979394,116.0,2.2317131E7,Germany,others,others,others
